operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
aten::mm,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT,1,operator_shape_matched,"[[8192,8704],[8704,5120],[8192,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1984,2056432.966
aten::mm,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT,2,operator_shape_matched,"[[8192,5120],[5120,8192],[8192,8192]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1488,1491798.499
aten::mm,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT,3,operator_shape_matched,"[[8192,3072],[3072,5120],[8192,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1984,761551.511
aten::mm,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT,4,operator_shape_matched,"[[4096,8704],[8704,5120],[4096,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,30255.267
aten::mm,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT,5,operator_shape_matched,"[[4096,3072],[3072,5120],[4096,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,11416.995
aten::mm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,1,operator_shape_matched,"[[8192,5120],[5120,17408],[8192,17408]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1984,4088286.442
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),1,operator_shape_matched,"[[8192,5120],[]]","[""c10::BFloat16"",""""]",null,3999,1307201.093
null,nvjet_tst_144x64_64x8_2x1_v_bz_TNN,1,missing_external_id,null,null,null,15296,1043836.595
null,fused_recurrent_gated_delta_rule_packed_decode_kernel,1,missing_external_id,null,null,null,12288,774225.962
null,nvjet_tst_64x64_64x13_4x1_v_bz_TNT,1,missing_external_id,null,null,null,30592,764958.662
