operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
aten::mm,mm_kernel_general_host_tma,1,operator_shape_matched,"[[8192,5120],[5120,17408],[8192,17408]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1984,5059837.6
aten::mm,mm_kernel_general_host_tma,2,operator_shape_matched,"[[8192,8704],[8704,5120],[8192,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1984,2561955.846
null,mm_kernel_general_host_tma,3,missing_external_id,null,null,null,65536,2523714.374
aten::mm,mm_kernel_general_host_tma,4,operator_shape_matched,"[[8192,5120],[5120,8192],[8192,8192]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1488,1677316.611
aten::mm,mm_kernel_general_host_tma,5,operator_shape_matched,"[[8192,3072],[3072,5120],[8192,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1984,838060.935
aten::mm,mm_kernel_general_host_tma,6,operator_shape_matched,"[[8192,5120],[5120,7168],[8192,7168]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,496,497915.535
aten::mm,mm_kernel_general_host_tma,7,operator_shape_matched,"[[5089,5120],[5120,17408],[5089,17408]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,100111.452
aten::mm,mm_kernel_general_host_tma,8,operator_shape_matched,"[[64,5120],[5120,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,223,95122.208
aten::mm,mm_kernel_general_host_tma,9,operator_shape_matched,"[[4096,5120],[5120,17408],[4096,17408]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,76749.114
aten::mm,mm_kernel_general_host_tma,10,operator_shape_matched,"[[8192,5120],[5120,48],[8192,48]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1488,55040.561
aten::mm,mm_kernel_general_host_tma,11,operator_shape_matched,"[[5089,8704],[8704,5120],[5089,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,50296.327
aten::mm,mm_kernel_general_host_tma,12,operator_shape_matched,"[[4096,8704],[8704,5120],[4096,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,39274.21
aten::mm,mm_kernel_general_host_tma,13,operator_shape_matched,"[[5089,5120],[5120,8192],[5089,8192]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,48,33555.99
aten::mm,mm_kernel_general_host_tma,14,operator_shape_matched,"[[4096,5120],[5120,8192],[4096,8192]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,48,26583.52
aten::mm,mm_kernel_general_host_tma,15,operator_shape_matched,"[[5089,3072],[3072,5120],[5089,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,16789.3
aten::mm,mm_kernel_general_host_tma,16,operator_shape_matched,"[[4096,3072],[3072,5120],[4096,5120]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,64,13007.653
aten::mm,mm_kernel_general_host_tma,17,operator_shape_matched,"[[5089,5120],[5120,7168],[5089,7168]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,16,10148.814
aten::mm,mm_kernel_general_host_tma,18,operator_shape_matched,"[[4096,5120],[5120,7168],[4096,7168]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,16,7956.952
aten::mm,mm_kernel_general_host_tma,19,operator_shape_matched,"[[63,5120],[5120,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,3,1280.415
aten::mm,mm_kernel_general_host_tma,20,operator_shape_matched,"[[5089,5120],[5120,48],[5089,48]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,48,1250.66
aten::mm,mm_kernel_general_host_tma,21,operator_shape_matched,"[[4096,5120],[5120,48],[4096,48]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,48,1100.663
aten::mm,mm_kernel_general_host_tma,22,operator_shape_matched,"[[1,5120],[5120,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,2,830.387
aten::mm,mm_kernel_general_host_tma,23,operator_shape_matched,"[[25,5120],[5120,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,436.426
aten::mm,mm_kernel_general_host_tma,24,operator_shape_matched,"[[53,5120],[5120,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,430.763
aten::mm,mm_kernel_general_host_tma,25,operator_shape_matched,"[[61,5120],[5120,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,430.603
