operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
vllm::moe_forward_shared,fused_moe_kernel,1,operator_shape_matched,"[[64,2048],[64,2048],[64,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,17760,1047972.794
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,757710.902
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[4097,2048],[4097,2048],[4097,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15535.377
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15495.32
vllm::moe_forward_shared,fused_moe_kernel,5,operator_shape_matched,"[[1025,2048],[1025,2048],[1025,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,9308.478
vllm::moe_forward_shared,fused_moe_kernel,6,operator_shape_matched,"[[62,2048],[62,2048],[62,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4848.513
vllm::moe_forward_shared,fused_moe_kernel,7,operator_shape_matched,"[[61,2048],[61,2048],[61,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4812.356
vllm::moe_forward_shared,fused_moe_kernel,8,operator_shape_matched,"[[57,2048],[57,2048],[57,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4675.483
vllm::moe_forward_shared,fused_moe_kernel,9,operator_shape_matched,"[[55,2048],[55,2048],[55,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4671.839
vllm::moe_forward_shared,fused_moe_kernel,10,operator_shape_matched,"[[63,2048],[63,2048],[63,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4660.962
vllm::moe_forward_shared,fused_moe_kernel,11,operator_shape_matched,"[[59,2048],[59,2048],[59,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4593.569
vllm::moe_forward_shared,fused_moe_kernel,12,operator_shape_matched,"[[53,2048],[53,2048],[53,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4536.667
vllm::moe_forward_shared,fused_moe_kernel,13,operator_shape_matched,"[[51,2048],[51,2048],[51,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4508.058
vllm::moe_forward_shared,fused_moe_kernel,14,operator_shape_matched,"[[49,2048],[49,2048],[49,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4459.134
vllm::moe_forward_shared,fused_moe_kernel,15,operator_shape_matched,"[[47,2048],[47,2048],[47,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4244.303
vllm::moe_forward_shared,fused_moe_kernel,16,operator_shape_matched,"[[45,2048],[45,2048],[45,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4222.196
vllm::moe_forward_shared,fused_moe_kernel,17,operator_shape_matched,"[[43,2048],[43,2048],[43,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4191.152
vllm::moe_forward_shared,fused_moe_kernel,18,operator_shape_matched,"[[41,2048],[41,2048],[41,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4156.636
vllm::moe_forward_shared,fused_moe_kernel,19,operator_shape_matched,"[[39,2048],[39,2048],[39,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4050.582
vllm::moe_forward_shared,fused_moe_kernel,20,operator_shape_matched,"[[37,2048],[37,2048],[37,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3954.895
vllm::moe_forward_shared,fused_moe_kernel,21,operator_shape_matched,"[[35,2048],[35,2048],[35,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3626.602
vllm::moe_forward_shared,fused_moe_kernel,22,operator_shape_matched,"[[33,2048],[33,2048],[33,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3603.18
vllm::moe_forward_shared,fused_moe_kernel,23,operator_shape_matched,"[[31,2048],[31,2048],[31,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3591.401
vllm::moe_forward_shared,fused_moe_kernel,24,operator_shape_matched,"[[29,2048],[29,2048],[29,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3445.541
