operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
null,fused_moe_kernel,1,missing_external_id,null,null,null,20480,1176955.726
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,766417.404
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[5089,2048],[5089,2048],[5089,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,18003.186
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15624.448
null,mm_kernel_general_host_tma,1,missing_external_id,null,null,null,58880,431086.681
aten::mm,mm_kernel_general_host_tma,2,operator_shape_matched,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,294628.544
aten::mm,mm_kernel_general_host_tma,3,operator_shape_matched,"[[8192,2048],[2048,2048],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1240,140223.884
aten::mm,mm_kernel_general_host_tma,4,operator_shape_matched,"[[8192,2048],[2048,4608],[8192,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,310,76205.998
aten::mm,mm_kernel_general_host_tma,5,operator_shape_matched,"[[64,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,223,39162.605
aten::mm,mm_kernel_general_host_tma,6,operator_shape_matched,"[[8192,2048],[2048,512]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1240,33377.503
aten::mm,mm_kernel_general_host_tma,7,operator_shape_matched,"[[8192,2048],[2048,256]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1240,30885.645
aten::mm,mm_kernel_general_host_tma,8,operator_shape_matched,"[[8192,256],[256,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1240,28725.606
aten::mm,mm_kernel_general_host_tma,9,operator_shape_matched,"[[8192,2048],[2048,32],[8192,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,17008.633
aten::mm,mm_kernel_general_host_tma,10,operator_shape_matched,"[[5089,2048],[2048,6144],[5089,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,6221.573
aten::mm,mm_kernel_general_host_tma,11,operator_shape_matched,"[[4096,2048],[2048,6144],[4096,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,4869.829
aten::mm,mm_kernel_general_host_tma,12,operator_shape_matched,"[[5089,2048],[2048,2048],[5089,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,3062.614
aten::mm,mm_kernel_general_host_tma,13,operator_shape_matched,"[[4096,2048],[2048,2048],[4096,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,2153.804
aten::mm,mm_kernel_general_host_tma,14,operator_shape_matched,"[[5089,2048],[2048,4608],[5089,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1486.621
aten::mm,mm_kernel_general_host_tma,15,operator_shape_matched,"[[4096,2048],[2048,4608],[4096,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1237.53
aten::mm,mm_kernel_general_host_tma,16,operator_shape_matched,"[[5089,2048],[2048,512]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,939.823
aten::mm,mm_kernel_general_host_tma,17,operator_shape_matched,"[[4096,2048],[2048,512]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,920.948
aten::mm,mm_kernel_general_host_tma,18,operator_shape_matched,"[[5089,2048],[2048,256]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,805.199
aten::mm,mm_kernel_general_host_tma,19,operator_shape_matched,"[[4096,2048],[2048,256]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,699.184
aten::mm,mm_kernel_general_host_tma,20,operator_shape_matched,"[[5089,256],[256,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,634.094
aten::mm,mm_kernel_general_host_tma,21,operator_shape_matched,"[[63,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,3,531.691
aten::mm,mm_kernel_general_host_tma,22,operator_shape_matched,"[[4096,256],[256,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,496.239
aten::mm,mm_kernel_general_host_tma,23,operator_shape_matched,"[[1,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,2,340.935
aten::mm,mm_kernel_general_host_tma,24,operator_shape_matched,"[[5089,2048],[2048,32],[5089,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,321.829
aten::mm,mm_kernel_general_host_tma,25,operator_shape_matched,"[[4096,2048],[2048,32],[4096,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,295.877
aten::mm,mm_kernel_general_host_tma,26,operator_shape_matched,"[[59,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,182.435
aten::mm,mm_kernel_general_host_tma,27,operator_shape_matched,"[[43,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,181.188
aten::mm,mm_kernel_general_host_tma,28,operator_shape_matched,"[[31,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,180.227
aten::mm,mm_kernel_general_host_tma,29,operator_shape_matched,"[[45,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.94
aten::mm,mm_kernel_general_host_tma,30,operator_shape_matched,"[[57,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.684
aten::mm,mm_kernel_general_host_tma,31,operator_shape_matched,"[[41,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.332
aten::mm,mm_kernel_general_host_tma,32,operator_shape_matched,"[[35,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.3
