operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
null,fused_moe_kernel,1,missing_external_id,null,null,null,20400,1162512.988
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,766392.972
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15588.867
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4097,2048],[4097,2048],[4097,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15561.759
vllm::moe_forward_shared,fused_moe_kernel,5,operator_shape_matched,"[[1025,2048],[1025,2048],[1025,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,9411.619
null,mm_kernel_general_host_tma,1,missing_external_id,null,null,null,58650,429259.179
aten::mm,mm_kernel_general_host_tma,2,operator_shape_matched,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,294942.803
aten::mm,mm_kernel_general_host_tma,3,operator_shape_matched,"[[8192,2048],[2048,2048],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1240,138435.277
aten::mm,mm_kernel_general_host_tma,4,operator_shape_matched,"[[8192,2048],[2048,4608],[8192,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,310,75941.814
aten::mm,mm_kernel_general_host_tma,5,operator_shape_matched,"[[64,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,224,39387.095
aten::mm,mm_kernel_general_host_tma,6,operator_shape_matched,"[[8192,2048],[2048,512]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1240,33508.415
aten::mm,mm_kernel_general_host_tma,7,operator_shape_matched,"[[8192,2048],[2048,256]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1240,30745.454
aten::mm,mm_kernel_general_host_tma,8,operator_shape_matched,"[[8192,256],[256,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1240,28760.212
aten::mm,mm_kernel_general_host_tma,9,operator_shape_matched,"[[8192,2048],[2048,32],[8192,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,16997.98
aten::mm,mm_kernel_general_host_tma,10,operator_shape_matched,"[[4097,2048],[2048,6144],[4097,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,5576.146
aten::mm,mm_kernel_general_host_tma,11,operator_shape_matched,"[[4096,2048],[2048,6144],[4096,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,4854.593
aten::mm,mm_kernel_general_host_tma,12,operator_shape_matched,"[[4097,2048],[2048,2048],[4097,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,2579.417
aten::mm,mm_kernel_general_host_tma,13,operator_shape_matched,"[[4096,2048],[2048,2048],[4096,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,2111.147
aten::mm,mm_kernel_general_host_tma,14,operator_shape_matched,"[[1025,2048],[2048,6144],[1025,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,1654.977
aten::mm,mm_kernel_general_host_tma,15,operator_shape_matched,"[[4097,2048],[2048,4608],[4097,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1375.389
aten::mm,mm_kernel_general_host_tma,16,operator_shape_matched,"[[4096,2048],[2048,4608],[4096,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1235.419
aten::mm,mm_kernel_general_host_tma,17,operator_shape_matched,"[[4097,2048],[2048,512]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,928.367
aten::mm,mm_kernel_general_host_tma,18,operator_shape_matched,"[[4096,2048],[2048,512]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,925.236
aten::mm,mm_kernel_general_host_tma,19,operator_shape_matched,"[[1025,2048],[2048,2048],[1025,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,816.655
aten::mm,mm_kernel_general_host_tma,20,operator_shape_matched,"[[4097,2048],[2048,256]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,695.148
aten::mm,mm_kernel_general_host_tma,21,operator_shape_matched,"[[4096,2048],[2048,256]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,694.416
aten::mm,mm_kernel_general_host_tma,22,operator_shape_matched,"[[4097,256],[256,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,517.993
aten::mm,mm_kernel_general_host_tma,23,operator_shape_matched,"[[4096,256],[256,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,493.736
aten::mm,mm_kernel_general_host_tma,24,operator_shape_matched,"[[1025,2048],[2048,512]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,481.705
aten::mm,mm_kernel_general_host_tma,25,operator_shape_matched,"[[1025,2048],[2048,4608],[1025,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,407.206
aten::mm,mm_kernel_general_host_tma,26,operator_shape_matched,"[[62,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,2,361.448
aten::mm,mm_kernel_general_host_tma,27,operator_shape_matched,"[[1025,2048],[2048,256]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,356.326
aten::mm,mm_kernel_general_host_tma,28,operator_shape_matched,"[[1,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,2,341.896
aten::mm,mm_kernel_general_host_tma,29,operator_shape_matched,"[[4097,2048],[2048,32],[4097,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,307.144
aten::mm,mm_kernel_general_host_tma,30,operator_shape_matched,"[[4096,2048],[2048,32],[4096,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,297.894
aten::mm,mm_kernel_general_host_tma,31,operator_shape_matched,"[[1025,256],[256,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",null,40,213.283
aten::mm,mm_kernel_general_host_tma,32,operator_shape_matched,"[[1025,2048],[2048,32],[1025,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,185.73
aten::mm,mm_kernel_general_host_tma,33,operator_shape_matched,"[[56,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,183.3
aten::mm,mm_kernel_general_host_tma,34,operator_shape_matched,"[[48,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,182.915
aten::mm,mm_kernel_general_host_tma,35,operator_shape_matched,"[[60,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,182.788
aten::mm,mm_kernel_general_host_tma,36,operator_shape_matched,"[[52,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,182.659
aten::mm,mm_kernel_general_host_tma,37,operator_shape_matched,"[[42,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,182.372
aten::mm,mm_kernel_general_host_tma,38,operator_shape_matched,"[[46,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,182.372
aten::mm,mm_kernel_general_host_tma,39,operator_shape_matched,"[[44,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,181.508
aten::mm,mm_kernel_general_host_tma,40,operator_shape_matched,"[[34,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,181.348
aten::mm,mm_kernel_general_host_tma,41,operator_shape_matched,"[[28,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,180.995
aten::mm,mm_kernel_general_host_tma,42,operator_shape_matched,"[[40,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,180.676
aten::mm,mm_kernel_general_host_tma,43,operator_shape_matched,"[[32,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,180.292
aten::mm,mm_kernel_general_host_tma,44,operator_shape_matched,"[[30,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.908
aten::mm,mm_kernel_general_host_tma,45,operator_shape_matched,"[[36,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.716
aten::mm,mm_kernel_general_host_tma,46,operator_shape_matched,"[[38,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.331
aten::mm,mm_kernel_general_host_tma,47,operator_shape_matched,"[[58,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,179.14
aten::mm,mm_kernel_general_host_tma,48,operator_shape_matched,"[[18,2048],[2048,124160]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1,178.563
